Employee_ID,Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_life_Balance,job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition,Age Group,Salary_band
17,21,Female,Divorced,Finance,Executive,2,12417,93,2,14,7,2,1,4,38,Yes,5,41,5,1,4,3,16,2,No,20-30,Low
18,43,Female,Married,Marketing,Manager,5,6792,42,26,2,9,4,2,4,51,No,8,54,5,4,2,4,41,4,No,41-50,Low
19,49,Female,Single,Finance,Executive,5,12569,40,14,1,9,4,3,2,49,No,5,31,8,3,4,3,29,1,No,41-50,Low
20,57,Male,Single,Sales,Analyst,5,3234,87,10,3,7,2,3,2,67,Yes,1,51,2,3,2,3,5,3,No,51+,Low
21,21,Female,Single,Finance,Assistant,3,19497,44,19,9,6,4,1,2,40,No,5,55,19,1,3,2,30,3,No,20-30,Low
22,40,Male,Single,IT,Not Specified,2,18317,23,23,14,3,2,4,3,42,No,1,40,18,1,3,2,34,1,No,31-40,Low
23,52,Female,Married,Finance,Not Specified,5,6138,15,22,8,3,2,1,1,48,No,4,46,7,4,1,4,27,1,Yes,51+,Low
24,39,Female,Divorced,Marketing,Executive,4,8159,70,24,9,1,2,4,4,70,No,8,32,6,2,3,1,10,1,No,31-40,Low
25,41,Male,Divorced,Finance,Executive,2,19794,70,15,10,8,2,1,1,46,No,6,52,12,2,4,4,48,4,No,41-50,Low
26,44,Male,Married,Finance,Manager,5,8684,90,29,5,5,4,3,4,56,No,2,37,10,2,4,1,10,1,No,41-50,Low
27,46,Female,Divorced,Marketing,Executive,2,12252,75,5,5,2,4,3,2,66,Yes,3,36,14,4,1,2,23,1,No,41-50,Low
28,47,Male,Single,Not Specified,Manager,4,3066,59,16,14,2,3,3,4,45,Yes,1,45,18,4,2,1,6,3,No,41-50,Low
29,35,Female,Married,Marketing,Not Specified,1,9546,27,15,8,0,3,3,1,40,No,6,55,2,4,3,4,27,2,No,31-40,Low
30,39,Female,Divorced,IT,Executive,5,16985,28,2,14,1,1,3,1,76,No,6,42,9,2,2,3,14,3,No,31-40,Low
31,22,Female,Married,Marketing,Assistant,4,11187,24,6,13,4,2,4,4,28,Yes,3,57,12,1,4,2,48,2,Yes,20-30,Low
32,39,Male,Married,IT,Analyst,3,15169,31,28,5,8,1,4,4,40,No,1,34,4,1,3,4,23,3,Yes,31-40,Low
33,26,Female,Divorced,IT,Analyst,5,16363,31,15,4,2,4,5,3,84,No,2,55,13,4,2,3,34,2,Yes,20-30,Low
34,39,Female,Divorced,Marketing,Manager,1,13665,45,27,9,6,4,3,3,45,No,1,56,4,1,4,1,25,3,No,31-40,Low
35,28,Female,Married,Finance,Manager,4,7304,60,13,1,5,2,2,1,24,No,3,31,5,1,4,2,34,1,No,20-30,Low
36,39,Male,Married,Sales,Manager,4,5010,63,13,6,2,1,4,3,2,No,3,50,11,4,2,2,31,1,No,31-40,Low
37,39,Female,Divorced,Marketing,Analyst,2,19000,89,27,7,3,4,4,3,29,Yes,1,36,0,3,3,3,22,1,No,31-40,Low
38,23,Female,Married,Finance,Manager,5,18537,94,21,14,4,4,5,1,85,No,8,35,7,4,1,4,5,1,Yes,20-30,Low
39,44,Female,Divorced,IT,Not Specified,1,4888,32,15,6,1,4,4,4,1,No,7,46,1,4,2,4,9,3,No,41-50,Low
40,39,Male,Married,Not Specified,Assistant,3,19752,89,14,12,7,2,1,3,8,No,6,54,7,1,4,2,18,4,No,31-40,Low
41,28,Female,Married,Sales,Manager,2,4762,25,19,10,6,3,3,2,57,No,7,51,10,4,3,4,21,2,Yes,20-30,Low
42,45,Female,Married,Finance,Analyst,5,19760,87,15,8,8,3,1,2,3,No,2,32,3,1,4,2,45,1,No,41-50,Low
43,21,Male,Divorced,Sales,Executive,1,3002,69,21,11,7,4,5,4,71,No,8,32,16,3,1,2,6,2,No,20-30,Low
44,39,Male,Single,HR,Analyst,2,3763,17,3,8,6,2,1,1,18,No,7,45,12,2,1,2,44,1,No,31-40,Low
45,47,Female,Married,HR,Executive,1,18754,92,9,5,8,2,3,1,84,Yes,1,51,8,2,4,3,29,1,No,41-50,Low
46,27,Female,Married,HR,Not Specified,1,5482,30,25,13,9,4,4,2,13,Yes,8,45,8,1,2,3,19,3,Yes,20-30,Low
47,27,Female,Single,Marketing,Manager,2,35190,23,10,12,4,2,2,3,0,Yes,7,36,3,4,1,2,47,1,No,20-30,Medium
48,39,Male,Single,Not Specified,Assistant,2,16054,82,29,13,2,4,3,1,19,Yes,2,49,14,4,4,1,39,3,No,31-40,Low
49,33,Male,Married,Marketing,Manager,5,5475,59,7,4,5,4,5,3,82,Yes,3,42,7,1,1,1,46,1,No,31-40,Low
50,36,Female,Divorced,HR,Executive,2,9049,16,14,11,8,2,5,3,79,Yes,6,36,6,2,1,1,4,1,No,31-40,Low
51,55,Male,Single,Finance,Not Specified,5,12256,36,17,7,5,2,3,4,73,No,6,32,19,3,2,3,44,1,No,51+,Low
52,59,Female,Single,HR,Executive,1,8997,83,25,9,2,4,4,1,65,Yes,4,48,16,1,2,1,39,1,Yes,51+,Low
53,23,Female,Divorced,Marketing,Manager,2,10424,63,14,13,1,3,5,2,64,Yes,8,42,19,2,1,4,41,4,No,20-30,Low
54,21,Female,Divorced,HR,Assistant,5,9786,35,25,2,4,1,4,2,7,No,2,49,16,4,3,1,34,4,Yes,20-30,Low
55,25,Female,Single,HR,Assistant,5,16413,88,15,12,7,3,1,2,8,Yes,3,57,12,4,2,4,44,1,Yes,20-30,Low
56,23,Male,Divorced,Marketing,Analyst,3,14084,69,5,7,7,2,1,4,38,Yes,7,47,11,1,2,2,3,3,No,20-30,Low
57,48,Male,Single,Marketing,Executive,5,7465,18,27,6,0,1,1,4,63,No,4,36,11,1,4,2,46,3,No,41-50,Low
58,37,Female,Married,Finance,Executive,5,35190,72,18,3,2,1,5,2,56,No,8,34,1,3,4,2,28,2,No,31-40,Medium
59,45,Male,Divorced,Marketing,Manager,3,13514,84,29,2,4,4,5,4,81,Yes,9,38,17,1,2,3,12,3,No,41-50,Low
60,53,Female,Single,Not Specified,Not Specified,4,11238,73,17,1,0,3,2,2,14,No,6,54,11,3,3,4,10,3,No,51+,Low
61,29,Male,Divorced,IT,Not Specified,2,35190,40,18,2,5,2,3,2,79,No,6,46,17,3,1,1,13,1,No,20-30,Medium
62,55,Female,Married,Not Specified,Manager,3,5564,88,5,12,3,2,4,3,84,Yes,6,58,7,1,3,4,29,4,Yes,51+,Low
63,33,Female,Single,Marketing,Analyst,5,7927,83,20,5,8,1,5,2,24,No,8,45,2,3,4,3,25,1,No,31-40,Low
64,50,Female,Married,HR,Assistant,5,13858,53,1,1,1,3,2,1,87,No,2,42,13,1,1,1,23,3,No,41-50,Low
65,34,Male,Single,Not Specified,Manager,2,18295,15,13,8,9,3,3,4,15,No,2,41,2,4,3,3,23,2,No,31-40,Low
66,27,Female,Divorced,HR,Assistant,1,4452,71,29,4,4,2,1,1,48,No,6,39,3,3,1,4,27,4,No,20-30,Low
67,33,Male,Single,Marketing,Not Specified,3,9179,62,24,3,4,3,4,2,72,Yes,7,47,1,4,1,2,44,4,No,31-40,Low
68,42,Male,Divorced,Finance,Analyst,4,5454,86,10,10,5,1,5,2,78,Yes,6,49,13,2,4,3,6,3,No,41-50,Low
69,59,Male,Single,HR,Assistant,2,7060,35,28,2,4,2,2,1,47,No,3,34,17,3,3,2,19,2,No,51+,Low
70,40,Male,Married,IT,Analyst,2,17747,45,15,1,9,4,1,1,76,Yes,6,36,8,4,4,1,25,1,No,31-40,Low
71,35,Male,Married,Marketing,Manager,3,14955,72,24,8,9,4,3,4,59,No,3,50,1,2,4,1,13,3,Yes,31-40,Low
72,37,Female,Married,HR,Analyst,5,11970,61,24,9,8,2,2,1,60,No,1,58,4,3,1,4,11,2,No,31-40,Low
73,43,Male,Married,HR,Manager,5,17226,37,5,3,0,3,3,2,43,No,4,30,2,4,4,4,46,2,No,41-50,Low
74,45,Female,Single,Finance,Analyst,4,16119,89,26,3,7,2,5,4,23,No,4,49,14,4,3,3,6,2,No,41-50,Low
75,44,Female,Married,Not Specified,Manager,3,16384,94,18,9,5,1,2,4,50,No,2,50,5,4,2,3,46,1,No,41-50,Low
76,48,Female,Single,Finance,Manager,2,4601,21,5,7,8,2,4,1,32,Yes,6,44,15,4,1,1,19,4,No,41-50,Low
77,39,Female,Divorced,Sales,Manager,3,6843,63,1,12,9,2,1,2,11,No,5,41,2,2,3,3,23,3,No,31-40,Low
78,20,Female,Divorced,Marketing,Assistant,1,18744,45,10,12,6,1,2,4,9,Yes,1,31,8,2,1,2,32,1,Yes,20-30,Low
79,44,Male,Divorced,Marketing,Executive,2,6675,61,17,9,2,4,5,2,30,No,2,46,6,1,2,2,43,2,No,41-50,Low
80,26,Female,Married,IT,Analyst,4,15049,82,28,2,7,2,5,2,55,Yes,6,43,10,4,1,2,49,1,No,20-30,Low
81,39,Male,Married,IT,Executive,4,4005,49,26,7,9,2,3,2,3,No,3,59,12,3,3,3,21,4,No,31-40,Low
82,43,Male,Married,Marketing,Executive,2,3231,89,3,14,2,2,3,1,35,No,7,47,6,4,4,4,36,3,No,41-50,Low
83,20,Male,Divorced,HR,Executive,5,14845,48,4,13,2,1,4,3,9,No,1,45,16,1,3,4,26,3,Yes,20-30,Low
84,27,Female,Divorced,Marketing,Executive,2,35190,72,12,8,3,1,5,4,66,No,7,49,3,4,2,4,23,4,No,20-30,Medium
85,43,Female,Divorced,Sales,Analyst,2,19230,29,27,11,2,4,5,4,21,No,3,45,10,2,3,3,25,3,No,41-50,Low
86,30,Female,Divorced,IT,Analyst,1,18389,92,28,4,5,2,5,4,84,Yes,6,55,17,1,4,3,8,1,No,20-30,Low
87,36,Female,Single,IT,Executive,2,7970,99,11,13,6,1,1,3,37,No,1,32,19,3,2,1,4,4,No,31-40,Low
88,27,Male,Single,IT,Analyst,3,18092,85,3,10,2,2,1,4,45,No,1,43,16,4,2,2,25,2,No,20-30,Low
89,39,Male,Married,Not Specified,Analyst,3,12089,95,28,11,2,4,5,3,66,Yes,1,57,8,2,3,4,20,4,No,31-40,Low
90,54,Female,Married,IT,Manager,4,17867,56,11,4,6,3,1,1,28,No,6,37,19,1,2,2,21,1,No,51+,Low
91,52,Male,Divorced,IT,Analyst,5,10882,32,15,12,9,2,5,1,50,No,2,33,8,3,3,1,49,3,No,51+,Low
92,24,Female,Single,Marketing,Assistant,4,11343,92,24,2,8,3,3,2,59,Yes,8,33,18,2,1,4,40,1,Yes,20-30,Low
93,39,Male,Single,HR,Executive,1,19555,52,4,2,2,2,3,4,58,No,9,50,5,2,2,4,48,3,No,31-40,Low
94,47,Female,Married,IT,Analyst,2,8524,78,3,4,5,1,1,4,4,Yes,6,30,1,2,3,2,47,2,No,41-50,Low
95,26,Male,Married,IT,Not Specified,4,4429,43,25,4,4,2,3,4,2,No,9,59,0,3,1,3,31,1,No,20-30,Low
96,28,Male,Married,IT,Analyst,2,35190,24,12,5,7,1,3,3,63,Yes,7,30,0,2,4,1,8,4,No,20-30,Medium
97,39,Female,Divorced,Not Specified,Executive,4,13090,31,12,10,8,3,4,1,93,No,3,45,19,4,2,3,35,4,No,31-40,Low
98,31,Female,Divorced,Marketing,Assistant,2,10432,46,17,14,7,3,4,2,46,Yes,9,42,7,3,4,3,29,3,No,31-40,Low
99,53,Female,Married,IT,Analyst,4,17069,75,24,10,0,2,5,2,39,Yes,7,55,13,3,3,3,6,2,No,51+,Low
100,52,Male,Divorced,Sales,Analyst,3,19483,98,21,13,6,2,2,2,7,No,5,43,5,3,2,2,11,2,No,51+,Low
101,42,Female,Divorced,HR,Assistant,1,16875,95,8,10,7,4,2,4,55,No,7,50,13,4,2,2,25,2,Yes,41-50,Low
102,39,Male,Single,HR,Analyst,4,16196,60,10,9,4,2,4,4,76,Yes,3,51,9,4,2,1,4,2,No,31-40,Low
103,56,Male,Single,Sales,Executive,3,19970,85,15,11,3,1,5,2,53,No,1,44,5,3,1,1,41,4,No,51+,Low
104,39,Male,Single,HR,Assistant,5,14159,70,19,9,6,1,3,2,83,No,3,32,10,1,4,4,31,1,No,31-40,Low
105,59,Male,Single,Finance,Manager,4,19639,75,15,7,5,2,3,2,76,No,8,33,13,1,1,1,30,3,No,51+,Low
106,41,Female,Single,HR,Executive,2,6007,58,15,6,1,2,5,1,5,No,4,44,1,3,1,1,18,3,No,41-50,Low
107,39,Male,Married,Finance,Analyst,1,16966,52,11,10,8,1,3,4,73,No,7,37,17,4,4,4,34,2,No,31-40,Low
108,39,Female,Married,Sales,Executive,3,16696,64,7,5,2,3,2,2,52,No,5,34,18,2,4,4,39,3,No,31-40,Low
109,39,Male,Single,Finance,Assistant,3,15402,88,15,4,0,3,2,4,25,No,6,54,9,1,3,3,21,1,Yes,31-40,Low
110,54,Male,Divorced,HR,Not Specified,1,8112,46,7,2,2,2,2,1,69,Yes,1,47,15,1,3,3,32,2,No,51+,Low
111,56,Female,Divorced,IT,Analyst,4,4580,67,23,4,0,2,1,1,25,No,2,51,0,4,1,2,46,2,No,51+,Low
112,33,Male,Married,Finance,Assistant,2,6226,62,18,11,9,2,3,3,27,Yes,9,59,18,4,1,1,41,3,No,31-40,Low
113,22,Male,Married,HR,Manager,5,7590,95,19,7,6,3,3,3,75,No,3,54,6,3,3,3,7,4,No,20-30,Low
114,21,Female,Married,Not Specified,Analyst,4,19465,15,16,1,5,1,3,4,52,No,2,43,14,1,4,1,22,3,No,20-30,Low
115,24,Female,Divorced,Sales,Analyst,1,6012,44,22,3,7,4,3,4,60,No,5,50,12,2,2,1,34,1,No,20-30,Low
116,45,Female,Married,Sales,Analyst,4,8301,23,3,4,3,1,3,4,39,Yes,5,42,5,4,4,2,49,3,No,41-50,Low
117,33,Male,Divorced,Marketing,Manager,4,6112,47,25,7,5,2,3,2,67,No,6,50,8,3,1,2,32,3,No,31-40,Low
118,58,Male,Married,Not Specified,Executive,1,9588,40,25,3,2,3,1,4,87,Yes,3,42,12,3,3,2,9,4,No,51+,Low
119,46,Female,Divorced,Marketing,Manager,1,8381,56,6,4,3,4,5,4,14,No,5,40,15,3,3,1,43,3,Yes,41-50,Low
120,39,Female,Married,Sales,Executive,5,17067,88,2,1,5,2,2,2,87,No,5,50,5,2,2,1,33,3,No,31-40,Low
121,34,Male,Married,Sales,Analyst,1,5104,56,1,12,4,2,2,3,12,Yes,8,59,18,4,1,1,6,1,No,31-40,Low
122,34,Male,Divorced,Sales,Executive,1,10726,53,15,1,1,2,2,2,66,No,5,56,14,2,2,2,24,4,No,31-40,Low
123,45,Female,Married,Marketing,Executive,1,12790,75,20,10,8,2,3,1,90,Yes,2,35,7,4,1,4,15,1,No,41-50,Low
124,32,Female,Single,Marketing,Executive,3,11770,61,11,12,1,1,2,1,44,No,1,59,10,1,3,1,13,4,No,31-40,Low
125,51,Female,Divorced,Finance,Executive,1,12106,56,10,3,7,2,1,4,78,No,1,37,8,1,3,1,14,2,No,51+,Low
126,58,Female,Married,HR,Analyst,1,17006,62,24,7,4,4,3,4,25,Yes,9,45,1,4,2,4,14,4,Yes,51+,Low
127,51,Male,Divorced,HR,Assistant,1,3774,66,3,13,6,3,3,4,55,Yes,7,37,1,4,3,2,10,3,No,51+,Low
128,23,Female,Married,HR,Manager,5,3056,47,4,11,5,2,1,2,22,No,3,30,4,2,3,2,27,1,No,20-30,Low
129,49,Male,Single,Sales,Executive,4,10226,41,12,6,1,2,5,3,38,No,2,49,5,4,4,4,45,2,No,41-50,Low
130,56,Male,Married,HR,Analyst,1,3545,57,27,5,3,2,1,2,96,No,2,38,6,2,2,1,39,4,No,51+,Low
131,42,Female,Married,Not Specified,Analyst,1,7906,43,6,8,8,2,1,4,20,Yes,6,43,4,1,3,2,13,3,No,41-50,Low
132,39,Male,Single,Not Specified,Not Specified,5,12605,33,27,11,6,1,1,3,13,No,6,41,10,4,1,4,39,2,No,31-40,Low
133,34,Female,Divorced,IT,Analyst,4,35190,96,25,8,0,3,5,1,12,Yes,6,51,2,2,1,1,12,1,No,31-40,Medium
134,48,Male,Married,Finance,Executive,5,17501,42,20,4,3,1,2,3,31,No,2,34,1,2,1,2,25,4,No,41-50,Low
135,55,Male,Married,HR,Manager,2,15275,24,19,10,9,4,1,3,11,No,7,50,0,2,3,2,29,1,No,51+,Low
136,39,Male,Single,HR,Analyst,2,6388,81,26,6,2,1,3,2,62,Yes,3,43,18,4,1,3,12,2,No,31-40,Low
137,51,Female,Divorced,Marketing,Manager,2,13821,30,26,12,0,4,2,3,51,No,1,43,1,2,1,4,25,3,No,51+,Low
138,26,Male,Divorced,Finance,Manager,1,3571,15,16,1,4,2,2,3,73,Yes,3,49,1,3,1,1,31,2,No,20-30,Low
139,41,Female,Single,Marketing,Manager,5,19109,96,25,10,8,1,4,1,21,No,6,34,18,2,3,1,23,3,No,41-50,Low
140,47,Female,Married,Marketing,Assistant,1,6927,18,23,14,3,2,3,3,46,Yes,7,59,19,4,4,2,45,3,No,41-50,Low
141,21,Male,Married,IT,Analyst,2,19731,83,25,12,1,1,2,2,24,Yes,3,47,9,4,4,3,31,4,No,20-30,Low
142,25,Female,Single,Marketing,Analyst,4,35190,99,27,10,6,4,3,1,92,Yes,8,38,2,4,4,1,19,2,No,20-30,Medium
143,47,Male,Single,Marketing,Not Specified,4,13691,18,10,9,7,1,5,3,70,Yes,3,48,9,4,3,4,49,2,Yes,41-50,Low
144,47,Female,Single,IT,Manager,5,19599,34,6,14,1,4,5,4,34,Yes,6,59,11,1,3,1,32,2,No,41-50,Low
145,39,Male,Divorced,Sales,Analyst,4,9613,77,20,5,9,2,2,3,92,No,3,30,3,2,1,1,1,1,No,31-40,Low
146,49,Female,Single,Sales,Analyst,2,14092,97,15,14,8,1,5,1,79,No,9,58,10,1,1,4,13,4,No,41-50,Low
147,30,Female,Married,IT,Manager,5,11477,49,10,8,9,1,4,3,71,Yes,7,58,11,2,3,1,35,4,Yes,20-30,Low
148,47,Male,Married,Marketing,Analyst,5,35190,59,12,10,7,2,3,1,50,No,8,31,17,4,4,4,46,3,No,41-50,Medium
149,44,Male,Married,HR,Executive,2,6059,71,15,10,3,1,5,1,58,Yes,2,50,12,3,2,1,9,1,No,41-50,Low
150,58,Male,Single,Finance,Assistant,2,3050,38,3,1,3,4,5,2,72,No,4,41,8,1,3,2,13,1,No,51+,Low
151,52,Male,Divorced,HR,Not Specified,2,8538,34,5,14,4,1,3,3,19,No,8,39,0,4,2,2,35,3,No,51+,Low
152,20,Female,Single,HR,Executive,2,4725,42,29,4,0,2,4,4,18,Yes,9,50,13,1,3,3,8,3,No,20-30,Low
153,46,Female,Single,Marketing,Executive,5,18410,52,3,13,6,1,4,1,15,No,4,56,16,4,1,1,44,4,No,41-50,Low
154,32,Female,Married,Finance,Manager,4,7566,38,3,2,3,2,5,1,61,No,6,48,7,1,4,3,41,1,No,31-40,Low
155,22,Female,Single,Finance,Analyst,2,14495,98,9,2,0,1,2,2,28,No,5,51,15,3,4,4,11,4,No,20-30,Low
156,59,Male,Divorced,Sales,Executive,3,10857,38,4,2,3,1,3,2,97,No,6,49,10,1,4,1,35,3,No,51+,Low
157,25,Female,Married,IT,Executive,5,13909,84,20,2,3,1,2,2,91,Yes,4,31,4,2,1,4,25,1,No,20-30,Low
158,27,Male,Divorced,Marketing,Analyst,1,35190,39,17,8,0,2,1,1,33,No,5,33,11,4,4,3,14,2,Yes,20-30,Medium
159,46,Female,Divorced,Finance,Manager,4,16791,95,28,6,8,2,3,4,80,Yes,7,50,14,4,1,3,43,4,No,41-50,Low
160,28,Male,Divorced,Marketing,Executive,5,7533,95,7,9,7,4,5,1,3,No,4,35,11,1,3,1,25,3,No,20-30,Low
161,56,Male,Single,Sales,Analyst,2,18491,83,29,2,8,3,3,2,54,No,5,46,10,4,3,1,48,2,No,51+,Low
162,52,Male,Single,HR,Analyst,3,19907,31,26,13,6,2,3,2,51,Yes,6,58,3,3,3,4,49,4,No,51+,Low
163,43,Male,Single,Finance,Assistant,1,35190,72,13,1,4,3,2,2,97,No,10,52,12,3,4,2,15,1,No,41-50,Medium
164,34,Female,Single,Sales,Executive,4,13130,87,25,14,6,1,1,2,29,No,9,30,19,2,3,2,40,2,Yes,31-40,Low
165,51,Female,Married,Marketing,Executive,2,4204,34,28,8,1,1,3,1,58,No,9,59,15,3,4,1,48,4,No,51+,Low
166,51,Male,Single,Not Specified,Assistant,5,7082,16,25,10,9,1,1,2,63,No,1,49,7,2,3,1,23,4,Yes,51+,Low
167,43,Female,Married,Sales,Analyst,5,6334,97,12,14,6,1,1,4,37,Yes,3,58,19,4,1,1,15,2,No,41-50,Low
168,31,Female,Divorced,Sales,Analyst,4,3711,23,18,13,3,3,2,4,29,No,2,39,11,1,4,2,45,1,No,31-40,Low
169,58,Male,Married,Sales,Executive,3,12104,77,22,3,4,4,2,1,94,No,6,33,4,2,4,4,2,1,No,51+,Low
170,21,Female,Single,Sales,Executive,2,8710,97,26,3,6,3,5,2,42,Yes,9,30,16,4,3,4,21,4,No,20-30,Low
171,22,Female,Married,Sales,Assistant,4,12926,82,26,8,1,1,5,3,95,Yes,2,45,2,3,2,4,23,3,No,20-30,Low
172,56,Female,Single,IT,Executive,4,18977,20,15,5,4,4,3,3,55,Yes,7,54,0,3,1,2,25,2,No,51+,Low
173,36,Male,Single,Marketing,Executive,5,13328,25,15,8,1,4,5,1,97,Yes,1,54,15,1,1,2,31,1,No,31-40,Low
174,21,Male,Married,HR,Manager,4,3331,35,24,2,9,1,2,2,81,No,4,48,2,1,1,2,22,1,No,20-30,Low
175,21,Male,Married,Marketing,Assistant,1,18790,77,1,10,5,4,5,4,5,No,1,56,16,3,1,3,6,1,Yes,20-30,Low
176,47,Male,Divorced,Finance,Analyst,1,6834,44,9,9,9,2,5,2,2,No,1,44,3,1,2,1,47,3,Yes,41-50,Low
177,43,Female,Divorced,Finance,Executive,2,19177,96,9,2,7,1,5,4,39,No,7,33,2,4,4,4,12,3,Yes,41-50,Low
178,56,Female,Divorced,Marketing,Analyst,4,11899,35,13,9,6,4,1,4,77,Yes,5,30,0,4,2,4,26,1,No,51+,Low
179,51,Female,Divorced,Sales,Executive,5,35190,37,11,10,4,3,5,4,37,Yes,8,46,5,1,1,1,10,2,Yes,51+,Medium
180,52,Female,Divorced,IT,Manager,2,8804,75,28,6,2,4,2,4,16,No,2,48,10,3,4,2,12,3,No,51+,Low
181,20,Female,Married,HR,Assistant,3,10733,44,15,12,3,3,1,4,50,No,6,50,7,1,1,3,15,4,No,20-30,Low
182,38,Female,Divorced,Sales,Assistant,5,3252,60,15,12,1,2,5,4,26,No,9,43,5,1,3,1,18,1,No,31-40,Low
183,21,Male,Married,Marketing,Analyst,3,12190,74,29,5,5,1,5,4,36,Yes,3,38,4,3,2,1,5,3,No,20-30,Low
184,45,Female,Divorced,Not Specified,Manager,2,17122,32,9,7,7,4,2,2,25,No,6,44,4,2,4,3,15,1,No,41-50,Low
185,51,Female,Single,IT,Not Specified,1,8827,76,29,14,7,2,3,4,77,Yes,9,42,17,3,3,3,28,2,No,51+,Low
186,25,Female,Divorced,IT,Manager,5,11484,59,5,7,8,2,2,2,59,No,3,38,9,4,4,4,9,4,No,20-30,Low
187,52,Male,Single,Marketing,Executive,5,10552,75,14,4,4,2,4,3,99,No,5,47,13,2,3,1,36,2,No,51+,Low
188,23,Female,Married,Sales,Executive,2,17351,73,27,7,9,2,2,1,87,No,7,42,14,2,3,4,25,3,No,20-30,Low
189,30,Female,Divorced,Sales,Not Specified,5,19420,49,16,3,5,3,3,3,20,Yes,1,59,14,3,4,3,21,4,No,20-30,Low
190,36,Male,Married,Sales,Executive,5,4444,36,2,3,1,1,2,3,64,Yes,8,40,4,1,1,3,27,2,No,31-40,Low
191,57,Female,Divorced,HR,Assistant,2,10793,38,15,7,9,2,1,2,61,No,3,55,1,3,4,1,29,2,No,51+,Low
192,43,Male,Married,HR,Not Specified,4,9677,65,17,1,3,2,1,1,41,Yes,8,34,5,4,4,3,43,2,Yes,41-50,Low
193,24,Male,Divorced,Sales,Manager,2,10861,79,5,8,2,2,2,1,95,No,1,55,9,4,2,1,42,1,Yes,20-30,Low
194,53,Female,Divorced,Marketing,Analyst,5,16268,29,24,11,8,3,1,4,62,Yes,4,48,7,2,4,4,39,1,Yes,51+,Low
195,25,Female,Single,IT,Manager,2,13634,42,10,2,5,2,3,3,74,Yes,4,35,17,3,2,3,10,4,No,20-30,Low
196,41,Male,Married,Finance,Analyst,5,9420,56,15,1,5,4,4,3,57,No,8,32,12,4,1,2,40,2,No,41-50,Low
197,30,Female,Married,IT,Manager,3,7378,34,15,6,3,3,4,2,80,Yes,4,45,6,2,2,2,3,3,No,20-30,Low
198,35,Female,Married,IT,Assistant,3,3998,57,4,4,5,1,3,4,61,No,4,47,18,2,4,1,4,2,No,31-40,Low
